DateTime,Temp_C,RH_%,CO2_ppm,Temp_C_m,RH_%_m,CO2_ppm_m
2025-07-08 13:15:00,23.978,49.841,545,24.1,48.5,763.0
2025-07-08 13:16:00,23.93,49.817,572,24.1,48.5,798.0
2025-07-08 13:17:00,23.954,49.817,578,23.6,52.5,849.0
2025-07-08 13:18:00,24.002,49.872,593,23.4,54.0,802.0
2025-07-08 13:19:00,23.954,49.78,580,23.5,54.5,778.0
2025-07-08 13:20:00,23.93,49.744,575,23.5,54.5,812.0
2025-07-08 13:21:00,23.954,49.677,580,23.6,54.5,812.0
2025-07-08 13:22:00,23.954,49.622,572,25.9,47.5,760.0
2025-07-08 13:23:00,23.93,49.567,567,24.4,51.5,799.0
2025-07-08 13:24:00,24.002,49.554,558,24.0,53.0,782.0
2025-07-08 13:25:00,23.954,49.518,575,23.7,53.0,769.0
2025-07-08 13:26:00,23.93,49.5,554,23.7,53.0,765.0
2025-07-08 13:27:00,23.93,49.481,572,23.7,53.0,761.0
2025-07-08 13:28:00,24.002,49.463,572,23.7,53.0,759.0
2025-07-08 13:29:00,23.954,49.445,569,23.7,53.0,755.0
2025-07-08 13:30:00,23.905,49.408,560,23.7,52.5,734.0
2025-07-08 13:31:00,23.954,49.426,575,23.7,52.5,734.0
2025-07-08 13:32:00,23.93,49.408,560,23.7,52.0,712.0
2025-07-08 13:33:00,23.954,49.377,567,23.7,52.0,654.0
2025-07-08 13:34:00,23.905,49.377,552,23.8,52.0,636.0
2025-07-08 13:35:00,23.905,49.341,565,23.8,52.0,687.0
2025-07-08 13:36:00,23.93,49.341,560,23.8,52.0,627.0
2025-07-08 13:37:00,23.905,49.323,526,23.7,51.5,611.0
2025-07-08 13:38:00,23.905,49.286,562,23.7,51.5,671.0
2025-07-08 13:39:00,23.905,49.341,565,23.7,51.5,671.0
2025-07-08 13:40:00,23.905,49.377,518,23.8,51.5,682.0
2025-07-08 13:41:00,23.905,49.377,558,23.8,51.0,656.0
2025-07-08 13:42:00,23.93,49.377,521,23.9,51.0,639.0
2025-07-08 13:43:00,23.905,49.408,524,23.9,51.0,670.0
2025-07-08 13:44:00,23.93,49.359,550,23.8,51.0,690.0
2025-07-08 13:45:00,23.954,49.359,558,23.7,51.0,731.0
2025-07-08 13:46:00,24.05,49.323,558,23.8,51.0,732.0
2025-07-08 13:47:00,24.002,49.329,530,23.8,50.5,716.0
2025-07-08 13:48:00,23.93,49.31,543,23.8,50.5,714.0
2025-07-08 13:49:00,23.954,49.292,543,23.8,50.5,723.0
2025-07-08 13:50:00,23.954,49.28,540,23.8,50.5,729.0
2025-07-08 13:51:00,23.978,49.28,538,23.8,50.5,743.0
2025-07-08 13:52:00,23.954,49.28,560,23.8,50.5,733.0
2025-07-08 13:53:00,23.954,49.261,543,23.8,50.5,716.0
2025-07-08 13:54:00,24.002,49.225,567,23.7,50.5,626.0
2025-07-08 13:55:00,24.026,49.261,545,23.6,50.5,612.0
2025-07-08 13:56:00,24.05,49.261,550,23.6,50.5,635.0
2025-07-08 13:57:00,23.954,49.243,550,23.6,50.5,658.0
2025-07-08 13:58:00,24.002,49.28,514,23.6,50.5,671.0
2025-07-08 13:59:00,23.954,49.329,533,23.6,50.0,647.0
2025-07-08 14:00:00,24.074,49.31,538,26.0,44.0,665.0
2025-07-08 14:01:00,24.002,49.292,521,24.4,48.0,665.0
2025-07-08 14:02:00,24.002,49.28,524,23.8,50.0,670.0
2025-07-08 14:03:00,24.098,49.268,567,23.8,50.0,661.0
2025-07-08 14:04:00,24.098,49.268,558,23.7,50.0,661.0
2025-07-08 14:05:00,24.026,49.231,594,23.7,50.0,643.0
2025-07-08 14:06:00,24.05,49.249,547,23.7,50.0,657.0
2025-07-08 14:07:00,24.098,49.231,547,23.7,50.0,676.0
2025-07-08 14:08:00,24.05,49.231,558,23.7,50.0,684.0
2025-07-08 14:09:00,24.05,49.2,535,23.7,50.0,683.0
2025-07-08 14:10:00,24.074,49.2,547,23.6,50.0,685.0
2025-07-08 14:11:00,24.074,49.207,514,23.7,50.0,688.0
2025-07-08 14:12:00,24.098,49.2,538,23.6,50.0,685.0
2025-07-08 14:13:00,24.05,49.286,562,23.7,50.0,676.0
2025-07-08 14:14:00,24.074,49.243,526,23.7,50.0,700.0
2025-07-08 14:15:00,24.074,49.243,567,23.7,50.0,704.0
2025-07-08 14:16:00,24.074,49.261,572,23.7,50.0,706.0
2025-07-08 14:17:00,24.05,49.243,535,23.7,50.0,711.0
2025-07-08 14:18:00,24.074,49.243,569,23.7,49.5,688.0
2025-07-08 14:19:00,24.098,49.31,586,26.1,43.5,703.0
2025-07-08 14:20:00,24.146,49.261,547,24.6,47.5,707.0
2025-07-08 14:21:00,24.098,49.261,547,24.1,49.0,708.0
2025-07-08 14:22:00,24.074,49.261,538,23.8,49.5,711.0
2025-07-08 14:23:00,24.074,49.243,554,23.7,49.5,711.0
2025-07-08 14:24:00,24.098,49.225,530,23.7,49.5,707.0
2025-07-08 14:25:00,24.171,49.457,594,23.7,49.5,708.0
2025-07-08 14:26:00,24.098,49.341,557,23.7,49.5,715.0
2025-07-08 14:27:00,24.098,49.28,569,23.8,49.5,720.0
2025-07-08 14:28:00,24.098,49.243,592,23.8,49.5,725.0
2025-07-08 14:29:00,24.146,49.268,574,23.7,49.5,737.0
2025-07-08 14:30:00,24.122,49.286,596,23.7,49.5,737.0
2025-07-08 14:31:00,24.146,49.249,606,23.5,49.5,747.0
2025-07-08 14:32:00,24.195,49.213,596,23.6,49.5,735.0
2025-07-08 14:33:00,24.195,49.054,632,23.6,49.5,731.0
2025-07-08 14:34:00,24.195,48.859,609,23.7,49.5,734.0
2025-07-08 14:35:00,24.171,48.828,621,23.7,49.5,734.0
2025-07-08 15:29:00,24.195,46.997,564,23.6,45.5,673.0
2025-07-08 15:30:00,24.195,47.034,584,23.1,49.5,695.0
2025-07-08 15:31:00,24.171,47.034,532,23.1,49.5,678.0
2025-07-08 15:32:00,24.195,47.052,561,25.3,45.5,678.0
2025-07-08 16:45:00,24.267,45.947,515,23.7,45.5,729.0
2025-07-08 16:46:00,24.267,45.892,513,23.2,49.5,730.0
2025-07-08 16:47:00,24.315,45.892,525,23.2,51.0,724.0
2025-07-08 16:48:00,24.267,45.807,525,23.2,51.0,726.0
2025-07-08 16:49:00,24.315,45.715,508,23.4,51.0,723.0
2025-07-08 16:50:00,24.267,45.581,534,23.5,51.0,698.0
2025-07-08 16:51:00,24.267,45.538,506,23.6,51.0,693.0
2025-07-08 16:52:00,24.267,45.502,519,23.7,50.5,688.0
2025-07-08 16:53:00,24.267,45.453,536,23.7,50.5,711.0
2025-07-08 16:54:00,24.267,45.361,536,23.8,50.0,695.0
2025-07-08 16:55:00,24.291,45.282,508,23.8,50.0,716.0
2025-07-08 16:56:00,24.315,45.245,487,23.9,49.5,726.0
2025-07-08 16:57:00,24.243,45.154,532,23.9,49.5,726.0
2025-07-08 16:58:00,24.291,45.099,534,25.5,44.5,714.0
2025-07-08 16:59:00,24.267,44.922,534,25.5,44.5,724.0
2025-07-08 17:00:00,24.243,44.904,519,24.5,47.0,728.0
2025-07-08 17:01:00,24.243,44.867,496,24.1,48.0,729.0
2025-07-08 17:02:00,24.219,44.818,539,24.0,48.0,727.0
2025-07-08 17:03:00,24.243,44.745,519,23.9,48.0,725.0
2025-07-08 17:04:00,24.243,44.727,546,23.9,48.0,723.0
2025-07-08 17:05:00,24.267,44.672,487,23.9,47.5,723.0
2025-07-08 17:06:00,24.291,44.672,559,23.9,47.5,724.0
2025-07-08 17:07:00,24.219,44.623,536,23.9,47.5,723.0
2025-07-08 17:08:00,24.219,44.623,508,23.8,47.0,722.0
2025-07-08 17:09:00,24.267,44.586,517,23.8,47.0,721.0
2025-07-08 17:10:00,24.267,44.568,546,23.8,47.0,721.0
2025-07-08 17:11:00,24.267,44.568,546,23.8,47.0,723.0
2025-07-08 17:12:00,24.243,44.55,527,23.8,46.5,724.0
2025-07-08 17:13:00,24.291,44.531,529,23.8,46.5,722.0
2025-07-08 17:14:00,24.195,44.476,539,23.8,46.5,724.0
2025-07-08 17:15:00,24.219,44.476,525,23.8,46.5,724.0
2025-07-08 17:16:00,24.195,44.476,500,23.8,46.5,730.0
2025-07-08 17:17:00,24.243,44.427,536,23.8,46.5,712.0
2025-07-08 17:18:00,24.219,44.409,539,23.8,46.5,711.0
2025-07-08 17:19:00,24.195,44.421,529,23.8,46.0,720.0
2025-07-08 17:20:00,24.195,44.421,525,23.8,46.0,720.0
2025-07-08 17:21:00,24.243,44.379,542,23.8,46.0,719.0
2025-07-08 17:22:00,24.171,44.379,549,23.8,46.0,722.0
2025-07-08 17:23:00,24.195,44.324,539,23.8,46.0,735.0
2025-07-08 17:24:00,24.219,44.287,546,23.8,45.5,736.0
2025-07-08 17:25:00,24.171,44.305,559,23.8,45.5,739.0
2025-07-08 17:26:00,24.195,44.287,544,23.8,45.5,739.0
2025-07-08 17:27:00,24.171,44.305,519,26.1,40.0,696.0
2025-07-08 17:28:00,24.195,44.269,546,24.6,43.5,709.0
2025-07-08 17:29:00,24.195,44.25,539,24.6,43.5,709.0
2025-07-08 17:30:00,24.219,44.232,551,26.0,39.5,706.0
2025-07-08 17:31:00,24.171,44.214,513,24.5,43.0,705.0
2025-07-08 17:32:00,24.195,44.183,539,24.5,43.0,703.0
2025-07-08 17:33:00,24.171,44.183,525,24.0,44.5,705.0
2025-07-08 17:34:00,24.146,44.147,501,23.7,45.0,713.0
2025-07-08 17:35:00,24.171,44.128,501,23.7,45.0,713.0
2025-07-08 17:36:00,24.171,44.11,515,26.0,39.5,696.0
2025-07-08 17:37:00,24.146,44.11,542,24.6,43.0,698.0
2025-07-08 17:38:00,24.122,44.055,513,24.0,44.0,700.0
2025-07-08 17:39:00,24.195,44.073,529,23.8,44.5,721.0
2025-07-08 17:40:00,24.195,44.067,499,23.8,45.0,722.0
2025-07-08 17:41:00,24.146,44.067,511,23.8,45.0,726.0
2025-07-08 17:42:00,24.146,44.067,525,23.7,45.0,726.0
2025-07-08 17:43:00,24.171,44.049,515,23.7,44.5,728.0
2025-07-08 17:44:00,24.146,44.031,506,23.7,44.5,723.0
2025-07-08 17:45:00,24.146,43.994,507,23.7,44.5,705.0
2025-07-08 17:46:00,24.146,43.958,519,23.7,44.5,705.0
2025-07-08 17:47:00,24.146,43.976,523,23.8,44.5,706.0
2025-07-08 17:48:00,24.098,43.927,542,23.7,44.5,703.0
2025-07-08 17:49:00,24.171,43.909,490,23.7,44.5,703.0
2025-07-08 17:50:00,24.195,43.872,499,25.3,40.5,691.0
2025-07-08 17:51:00,24.122,43.793,463,25.3,40.5,695.0
2025-07-08 17:52:00,24.122,43.726,476,24.3,43.0,695.0
2025-07-08 17:53:00,24.122,43.689,499,25.2,40.5,682.0
2025-07-08 17:54:00,24.098,43.671,476,25.2,40.5,687.0
2025-07-08 17:55:00,24.146,43.634,521,24.2,43.0,685.0
2025-07-08 17:56:00,24.098,43.585,507,23.9,43.5,685.0
2025-07-08 17:57:00,24.098,43.597,495,23.7,44.0,686.0
2025-07-08 17:58:00,24.098,43.549,516,23.7,44.0,688.0
2025-07-08 17:59:00,24.146,43.53,497,23.7,44.0,688.0
2025-07-08 18:00:00,24.074,43.451,459,23.7,44.0,686.0
2025-07-08 18:01:00,24.098,43.378,521,23.7,44.0,684.0
2025-07-08 18:02:00,24.098,43.359,518,23.6,43.5,685.0
2025-07-08 18:03:00,24.074,43.323,501,23.6,43.5,685.0
2025-07-08 18:04:00,24.122,43.292,497,23.6,43.5,683.0
2025-07-08 18:05:00,24.074,43.25,490,23.6,43.5,682.0
2025-07-08 18:06:00,24.074,43.195,492,26.0,38.0,668.0
2025-07-08 18:07:00,24.074,43.127,471,26.0,38.0,676.0
2025-07-08 18:08:00,24.05,43.054,471,24.4,41.5,682.0
2025-07-08 18:09:00,24.122,43.054,507,23.9,42.5,684.0
2025-07-08 18:10:00,24.05,42.999,511,23.7,43.0,680.0
2025-07-08 18:11:00,24.098,42.963,499,23.6,43.0,683.0
